Start_frame	End_frame	Video_number
34411	34996	V6
125	315	V7
341	486	V7
667	1260	V7
1620	1690	V7
2060	2104	V7
2123	2139	V7
2422	2546	V7
3908	4106	V7
5946	6199	V7
6483	6620	V7
6789	6804	V7
6806	6993	V7
7217	7380	V7
7425	7896	V7
10134	10449	V7
10562	10788	V7
11437	11649	V7
11807	12175	V7
13078	13324	V7
14009	14028	V7
14047	14062	V7
14200	14331	V7
14609	14881	V7
17088	17311	V7
19246	19647	V7
20110	20128	V7
20180	20338	V7
20415	20494	V7
21150	21496	V7
24580	24675	V7
25173	25595	V7
25760	26148	V7
26384	26485	V7
26496	26524	V7
26727	26908	V7
27072	27262	V7
27420	27525	V7
28574	28616	V7
28993	29010	V7
29241	29422	V7
29541	29561	V7
29614	29914	V7
30035	30300	V7
30573	30739	V7
30902	31024	V7
31076	31150	V7
35236	35389	V7
2163	2555	V8
2574	2676	V8
3705	4039	V8
4391	4610	V8
4653	4982	V8
5889	6271	V8
8267	8726	V8
9265	9451	V8
9609	9649	V8
9683	10070	V8
10079	10971	V8
11717	11919	V8
14454	15128	V8
15659	15728	V8
18232	19097	V8
19870	21017	V8
21029	21130	V8
22541	22647	V8
24707	24857	V8
26945	26994	V8
27067	27221	V8
27406	27542	V8
27745	27959	V8
28829	29079	V8
30645	30853	V8
31795	32096	V8
32173	32221	V8
32266	32448	V8
32499	32667	V8
32680	32850	V8
33017	33267	V8
33287	33390	V8
33739	33826	V8
34329	34392	V8
35216	35346	V8
35414	35487	V8
35583	35714	V8
1175	1230	V9
4048	4063	V9
5470	5537	V9
10621	11241	V9
11784	11823	V9
12330	12834	V9
17924	18336	V9
18352	18486	V9
18494	18606	V9
18626	18890	V9
19390	19743	V9
20037	20378	V9
20848	21168	V9
21332	21634	V9
21942	22256	V9
24345	24624	V9
26964	27414	V9
28753	28919	V9
29026	29333	V9
29698	30267	V9
30504	30728	V9
33120	33328	V9
33740	33993	V9
34438	34455	V9
879	1382	V10
1384	1416	V10
1443	1481	V10
1547	1620	V10
8839	9175	V10
9199	9378	V10
9413	9629	V10
9796	9921	V10
9995	10012	V10
10115	10497	V10
12794	13332	V10
13714	13902	V10
13976	14253	V10
14276	14392	V10
14431	14540	V10
14550	14644	V10
14663	14718	V10
14765	15015	V10
20998	21269	V10
21748	22264	V10
23246	23533	V10
23754	24175	V10
24209	24295	V10
27694	28255	V10
28275	28402	V10
28535	28973	V10
28989	29168	V10
29434	29859	V10
32085	32528	V10
32575	32679	V10
32761	32928	V10
34112	34196	V10
34238	34352	V10
34453	34581	V10
34605	34641	V10
34661	34674	V10
108	127	V11
525	543	V11
1123	1145	V11
1687	1758	V11
1924	2165	V11
2202	2243	V11
2759	2825	V11
2841	2852	V11
4096	4110	V11
4928	5817	V11
5945	6066	V11
6533	6718	V11
8437	8610	V11
11714	12891	V11
13238	13390	V11
13929	14076	V11
14129	14662	V11
15711	16188	V11
16300	16625	V11
17233	17517	V11
17567	17682	V11
17994	18185	V11
18245	18460	V11
18589	18606	V11
18631	18826	V11
18859	19118	V11
19414	19694	V11
19806	20180	V11
20330	20492	V11
20542	20930	V11
21008	21366	V11
23243	23549	V11
24007	24408	V11
24963	25168	V11
26466	26716	V11
26725	26805	V11
27702	28157	V11
31369	31667	V11
32073	32442	V11
32693	32884	V11
32923	33134	V11
33196	33429	V11
33450	33503	V11
779	796	V12
853	885	V12
961	1203	V12
1351	1541	V12
1592	1686	V12
1894	2122	V12
2150	2179	V12
2260	2310	V12
2345	2408	V12
2593	2628	V12
2642	2655	V12
2984	3167	V12
3335	3490	V12
3855	3977	V12
3996	4077	V12
4370	4513	V12
4670	5056	V12
5292	5331	V12
5353	5367	V12
6211	6374	V12
6410	6563	V12
7806	7899	V12
9708	10040	V12
10270	10375	V12
10560	10716	V12
11401	11549	V12
11960	12052	V12
12099	12170	V12
12208	12268	V12
12337	12392	V12
12791	12911	V12
12931	12985	V12
13003	13042	V12
13208	13262	V12
13279	13446	V12
13988	14111	V12
14243	14373	V12
14377	14386	V12
14408	14497	V12
14715	14849	V12
14865	15027	V12
15443	15576	V12
17009	17266	V12
17685	18001	V12
18029	18054	V12
18067	18206	V12
20252	20275	V12
20299	20326	V12
22709	22923	V12
22936	22998	V12
23010	23038	V12
25841	26072	V12
26084	26098	V12
26463	26832	V12
26848	26909	V12
27715	27970	V12
28565	28700	V12
28806	28852	V12
28859	28897	V12
29938	30042	V12
30524	30647	V12
30779	30937	V12
31512	31659	V12
32450	32598	V12
32618	32646	V12
35081	35186	V12
29515	29885	V13
8638	8655	V14
9006	9227	V14
10648	12283	V14
12702	13223	V14
13255	13307	V14
13421	13601	V14
14656	15655	V14
18224	19042	V14
21588	21829	V14
21856	23135	V14
31120	31896	V14
32163	32885	V14
33267	33709	V14
33721	33730	V14
35536	35983	V14
35994	36000	V14
446	457	V15
812	851	V15
1203	1216	V15
2386	2465	V15
2681	2692	V15
2748	2786	V15
2842	2882	V15
2924	3034	V15
5723	6124	V15
6184	6615	V15
6914	7055	V15
7940	7979	V15
8015	8070	V15
9206	9584	V15
9860	9967	V15
11789	12233	V15
12416	12858	V15
15685	15774	V15
15840	16063	V15
16131	16272	V15
16551	16894	V15
16967	17410	V15
23409	23535	V15
23653	23772	V15
23846	25126	V15
25182	25510	V15
25522	25726	V15
26833	27140	V15
27160	27432	V15
28389	28973	V15
30245	30785	V15
31665	32117	V15
33544	33833	V15
35610	35992	V15
1368	1972	V16
8893	9166	V16
9416	10111	V16
11734	13623	V16
15289	15652	V16
15701	16233	V16
16241	16291	V16
16311	16804	V16
20412	21026	V16
21379	21923	V16
22125	22452	V16
24708	25121	V16
30605	30767	V16
32910	33154	V16
34092	34157	V16
35924	35996	V16
8170	8239	V17
8304	8754	V17
8788	9029	V17
19452	20489	V17
21341	21510	V17
21521	21667	V17
27868	28176	V17
28310	29335	V17
29580	29660	V17
35237	35556	V17
35732	36000	V17
1148	1167	V18
1654	2227	V18
8702	9587	V18
9671	10646	V18
11319	11493	V18
11563	12269	V18
12445	12873	V18
13322	13811	V18
14015	14296	V18
17175	17712	V18
17869	18026	V18
18144	18348	V18
18716	18786	V18
18911	19275	V18
20199	20289	V18
20342	20894	V18
20919	21199	V18
21237	21248	V18
21352	21436	V18
21621	21690	V18
21976	22131	V18
22194	22279	V18
22452	22552	V18
22682	22836	V18
22880	23052	V18
23355	23946	V18
25140	25315	V18
25359	25372	V18
25434	25814	V18
26008	26211	V18
26263	26452	V18
28412	28910	V18
29627	29916	V18
29976	30617	V18
33789	34423	V18
34910	35378	V18
35653	35886	V18
1734	1796	V19
1869	1973	V19
3903	3975	V19
4067	4410	V19
4463	4594	V19
4679	5086	V19
5621	5714	V19
7170	7505	V19
9840	10301	V19
10568	10933	V19
12102	12270	V19
14575	14716	V19
14836	14894	V19
15502	16165	V19
17240	17893	V19
17932	18188	V19
20310	21087	V19
24971	25050	V19
30758	31222	V19
33552	33900	V19
2873	3910	V20
4472	4959	V20
5474	6151	V20
13416	13904	V20
14102	14611	V20
14818	14912	V20
16964	17703	V20
18310	20095	V20
21671	22129	V20
22802	23070	V20
23486	23938	V20
23969	24056	V20
24450	24592	V20
24717	24842	V20
24870	24922	V20
25083	25112	V20
25849	26388	V20
26540	26560	V20
26674	27135	V20
27587	27851	V20
28091	28676	V20
30273	30553	V20
31522	31873	V20
32030	32350	V20
35078	35382	V20
35668	35883	V20
1407	1825	V21
1853	1943	V21
1969	1983	V21
2009	2080	V21
2544	3381	V21
5716	6337	V21
6468	6632	V21
9958	10379	V21
10536	10708	V21
10745	10937	V21
11990	12654	V21
12929	13559	V21
13647	13934	V21
22590	22633	V21
22746	23058	V21
23104	23205	V21
23227	23314	V21
26485	28094	V21
30720	31492	V21
32877	33578	V21
1654	2684	V22
2758	2849	V22
2851	3232	V22
3655	4217	V22
4300	4539	V22
5515	5639	V22
5986	6053	V22
10905	11844	V22
11962	12501	V22
12548	12657	V22
13167	13537	V22
18277	18342	V22
19473	20537	V22
20611	21057	V22
21080	21274	V22
22502	22605	V22
24270	24607	V22
24701	25112	V22
25272	26035	V22
29029	29591	V22
33202	34856	V22
1084	1317	V23
1342	1613	V23
1719	1806	V23
1975	2281	V23
3267	3637	V23
4055	4316	V23
4374	4502	V23
4571	4695	V23
4698	4751	V23
5017	5237	V23
5322	5452	V23
5569	5739	V23
6519	6644	V23
7063	7145	V23
7152	7353	V23
8376	8620	V23
9506	9949	V23
10542	11302	V23
11898	12166	V23
12438	12598	V23
12627	12715	V23
13328	13670	V23
14049	14325	V23
15920	16132	V23
16141	16536	V23
16688	16872	V23
17056	17330	V23
17382	17428	V23
17431	17635	V23
17669	17841	V23
18221	18542	V23
18959	19152	V23
19158	19219	V23
20944	21476	V23
22173	22340	V23
22770	23064	V23
23998	24368	V23
25481	25767	V23
25772	25939	V23
28787	29361	V23
30383	31150	V23
31236	31848	V23
32020	32079	V23
32146	32465	V23
33626	34099	V23
34210	34397	V23
34491	35105	V23
953	1192	V24
1413	1488	V24
1495	1559	V24
1738	1916	V24
2337	2431	V24
2722	2820	V24
2827	2943	V24
3665	3765	V24
3862	3948	V24
6795	7251	V24
7294	7774	V24
7881	7979	V24
10839	10989	V24
12403	13132	V24
13527	13702	V24
15455	16315	V24
17016	17307	V24
17973	18480	V24
19210	19350	V24
21691	22227	V24
25406	26496	V24
34413	34828	V24
35030	35336	V24
16128	16948	V25
20217	20911	V25
23967	24417	V25
24480	24775	V25
24878	25181	V25
25243	25455	V25
25479	25554	V25
29940	30210	V25
31812	31888	V25
32133	32588	V25
32822	33298	V25
1672	1704	V26
1931	2514	V26
3747	4222	V26
4740	5382	V26
8972	9410	V26
9437	9858	V26
11361	11469	V26
11684	12228	V26
12312	12424	V26
12431	12576	V26
14241	14916	V26
14920	15026	V26
21369	21758	V26
22101	22296	V26
22542	22849	V26
23135	23271	V26
27696	27880	V26
27891	27969	V26
27996	28198	V26
28222	28334	V26
28341	28369	V26
32330	32963	V26
33090	33278	V26
33305	33632	V26
33696	33763	V26
23	65	V27
1343	1461	V27
1478	1620	V27
5181	5682	V27
5872	6364	V27
6709	6983	V27
7257	7354	V27
9340	9572	V27
9597	9841	V27
10105	10351	V27
10406	10461	V27
10695	11315	V27
11325	11433	V27
12249	12922	V27
13205	13429	V27
13931	14553	V27
16441	16797	V27
17043	17224	V27
20708	21039	V27
23862	23950	V27
23989	24428	V27
25631	25814	V27
25991	26940	V27
27411	28208	V27
28282	28441	V27
28551	28957	V27
29264	29974	V27
30009	30111	V27
31639	32322	V27
1622	1749	V28
1774	1947	V28
5054	5831	V28
5864	6169	V28
6325	6862	V28
6905	7249	V28
7262	7354	V28
7362	7504	V28
7506	7558	V28
8131	8898	V28
8939	9101	V28
9247	9829	V28
10501	11178	V28
11394	11647	V28
11680	11886	V28
12079	12100	V28
12331	12637	V28
12934	13068	V28
13075	13105	V28
13523	14058	V28
14344	14556	V28
15969	16317	V28
16331	16356	V28
18123	18436	V28
22807	22856	V28
26774	27905	V28
28400	29300	V28
29573	29864	V28
29896	30096	V28
30964	31281	V28
31509	31894	V28
12703	13210	V29
27198	27732	V29
30983	31480	V29
31546	31560	V29
31598	32104	V29
34819	35049	V29
35316	35423	V29
7170	8178	V30
8892	9891	V30
11623	12185	V30
12336	12658	V30
13121	13769	V30
16268	16799	V30
24029	25780	V30
26229	26847	V30
27407	27635	V30
27753	27994	V30
33310	33950	V30
4449	4475	V31
4529	4706	V31
7758	7968	V31
10435	10616	V31
10813	11384	V31
11995	12430	V31
18554	18573	V31
18600	19436	V31
20050	20147	V31
20358	20470	V31
20473	20541	V31
20784	20828	V31
21179	21479	V31
21480	21659	V31
23411	23690	V31
23720	23736	V31
23842	24336	V31
24803	24834	V31
28963	29642	V31
33512	34074	V31
35601	35683	V31
35790	35929	V31
696	765	V32
2457	2487	V32
9111	10577	V32
11366	11707	V32
11840	12284	V32
12332	12598	V32
12653	12696	V32
12755	12815	V32
15935	16443	V32
19052	19542	V32
19685	19715	V32
19884	20433	V32
20957	21955	V32
21958	21997	V32
22004	22041	V32
25065	25549	V32
26139	26450	V32
29901	30288	V32
30449	30695	V32
30724	30762	V32
30797	30855	V32
32925	33218	V32
33237	33281	V32
35660	36000	V32
1023	1037	V33
1337	1532	V33
5367	6103	V33
6246	6260	V33
7335	7851	V33
7953	8262	V33
8726	9151	V33
9709	9828	V33
9910	9928	V33
10376	10633	V33
12160	12811	V33
22349	22561	V33
22563	23085	V33
23127	23531	V33
29975	30262	V33
30680	31467	V33
32175	32434	V33
33366	34122	V33
35090	35490	V33
1044	1081	V34
1176	1224	V34
1356	1410	V34
3597	3681	V34
3723	3912	V34
3957	3999	V34
7397	7605	V34
7617	7656	V34
7788	8204	V34
8242	8284	V34
8391	8628	V34
8647	8765	V34
8805	8989	V34
10023	10059	V34
10215	10825	V34
11183	11226	V34
11262	11413	V34
11854	12169	V34
14184	14967	V34
15140	15153	V34
15197	15274	V34
15327	15376	V34
15417	15431	V34
15485	15677	V34
15833	15847	V34
15885	16319	V34
16942	17247	V34
17366	17376	V34
17480	17486	V34
17547	17750	V34
22183	22195	V34
22229	22381	V34
23632	23736	V34
24676	24733	V34
25043	25228	V34
25467	26150	V34
27210	27766	V34
27972	28041	V34
31112	31394	V34
34338	34770	V34
2709	2771	V35
2887	3211	V35
3696	3782	V35
3795	3811	V35
3956	4046	V35
4075	4117	V35
4154	4279	V35
15390	16160	V35
17189	17580	V35
18066	18156	V35
24385	24502	V35
24678	24830	V35
29795	29876	V35
29888	30476	V35
30478	30552	V35
31353	31960	V35
31969	32043	V35
33504	33982	V35
34050	34282	V35
183	210	V36
799	859	V36
875	917	V36
968	987	V36
1048	1186	V36
1272	1387	V36
1439	1526	V36
1843	1877	V36
2174	2215	V36
2238	2301	V36
2322	2360	V36
2571	2622	V36
2790	2823	V36
3117	3131	V36
3574	3774	V36
4384	4766	V36
5705	5747	V36
5797	5876	V36
6094	6481	V36
8494	9037	V36
9299	9315	V36
10284	10742	V36
10775	10964	V36
11486	11728	V36
12444	12870	V36
12886	12905	V36
17062	17365	V36
18421	18439	V36
19738	20118	V36
21016	21463	V36
21521	21539	V36
21574	21596	V36
22959	23437	V36
23836	24002	V36
29039	29477	V36
29507	29582	V36
29634	29794	V36
29934	29987	V36
30476	30892	V36
32172	32385	V36
33339	33592	V36
34447	34639	V36
34977	35028	V36
35912	35978	V36
6264	7267	V37
7304	7400	V37
7811	7911	V37
7919	8088	V37
8092	8253	V37
8289	8496	V37
9294	9703	V37
15511	15546	V37
15561	16092	V37
16194	16372	V37
16386	16860	V37
18187	18265	V37
18275	18982	V37
19008	19037	V37
19214	19686	V37
19734	19922	V37
20844	21194	V37
21206	21422	V37
23900	24058	V37
24263	24564	V37
25892	25965	V37
26019	26459	V37
29791	30117	V37
30788	31034	V37
33306	33669	V37
34043	34343	V37
34996	35188	V37
35235	35410	V37
1014	1063	V38
1113	1427	V38
1430	1478	V38
1514	1589	V38
1862	1907	V38
1929	2141	V38
2161	2239	V38
2259	2315	V38
2342	2420	V38
2422	2535	V38
3080	3219	V38
3471	3616	V38
3640	3689	V38
9534	9571	V38
9625	10008	V38
10172	10342	V38
10466	12332	V38
12961	13555	V38
14102	14297	V38
14682	14761	V38
14781	14922	V38
14966	15190	V38
19943	20175	V38
20854	21332	V38
23201	23572	V38
26183	26810	V38
26853	27201	V38
27741	28084	V38
28096	28137	V38
29615	30119	V38
34340	34417	V38
35325	35405	V38
1307	1320	V39
1360	1429	V39
1500	1534	V39
5470	6256	V39
6591	6819	V39
6906	6975	V39
7357	7911	V39
7967	8382	V39
8890	9074	V39
9427	9543	V39
9980	10286	V39
10487	10547	V39
10927	11013	V39
11208	11352	V39
11373	11385	V39
11398	11415	V39
11447	11536	V39
11560	11698	V39
12844	13118	V39
17743	18130	V39
19853	20062	V39
22017	22639	V39
22946	23353	V39
35169	35356	V39
35396	35495	V39
35533	36000	V39
1744	2040	V40
2069	2136	V40
3780	3929	V40
3974	4089	V40
4169	4201	V40
4436	4519	V40
5538	5659	V40
5857	5888	V40
6048	6133	V40
6222	6252	V40
6380	6393	V40
6483	6543	V40
6654	6697	V40
6795	6874	V40
6994	7005	V40
7096	7185	V40
7371	7402	V40
7415	7431	V40
7467	7492	V40
8429	8500	V40
8555	8581	V40
9687	9775	V40
9943	10117	V40
10273	10315	V40
10397	10476	V40
10679	10821	V40
10883	10953	V40
11401	11526	V40
11847	12093	V40
12731	12915	V40
13086	13187	V40
13440	13530	V40
13926	13982	V40
14039	14206	V40
16685	16768	V40
16874	16914	V40
17008	17098	V40
17157	17274	V40
21922	22219	V40
22649	23112	V40
24947	25296	V40
26025	26097	V40
28952	29027	V40
29368	29514	V40
29585	29710	V40
29879	30143	V40
30740	31076	V40
31644	31854	V40
31889	32060	V40
34043	34286	V40
4248	4270	V73
4488	4694	V73
4697	4717	V73
4987	5002	V73
7305	7632	V73
7645	7685	V73
7754	8209	V73
8216	8237	V73
8736	8818	V73
8936	9081	V73
18118	18501	V73
18801	19323	V73
19334	19414	V73
19510	19789	V73
19808	19827	V73
19843	19915	V73
23116	23239	V73
24461	24697	V73
26765	27161	V73
27385	27658	V73
28088	28415	V73
31267	31304	V73
3422	3726	V74
3737	3838	V74
3906	4254	V74
4749	5312	V74
6868	7043	V74
7061	7246	V74
7251	7320	V74
7342	7455	V74
7511	7592	V74
15438	15450	V74
15619	15954	V74
15974	16114	V74
16121	16460	V74
18508	18528	V74
21154	21328	V74
21693	21837	V74
21848	21990	V74
21997	22061	V74
22070	22216	V74
22221	22245	V74
22285	22434	V74
22663	22888	V74
22902	23044	V74
23077	23207	V74
25802	26058	V74
27750	27966	V74
27991	28062	V74
28084	28098	V74
29286	29391	V74
29615	29816	V74
29829	29871	V74
29883	29975	V74
29986	30103	V74
30112	30127	V74
30189	30279	V74
32469	32606	V74
34894	35041	V74
35445	35560	V74
35603	35614	V74
507	531	V75
2887	2908	V75
3498	4038	V75
4262	4367	V75
4410	4477	V75
4496	4630	V75
4640	4897	V75
5242	5256	V75
5413	5512	V75
5649	6064	V75
6122	6525	V75
7553	7668	V75
7725	7795	V75
8018	8481	V75
8571	8711	V75
9141	9234	V75
10882	10894	V75
11590	11701	V75
11887	12047	V75
12255	12418	V75
12431	12509	V75
12542	13446	V75
13894	14232	V75
14501	14555	V75
14599	14677	V75
15387	15425	V75
16048	16087	V75
16136	16161	V75
16731	17374	V75
17738	18018	V75
18191	18337	V75
18383	18538	V75
19484	19614	V75
19833	20060	V75
20072	20221	V75
20830	20940	V75
21025	21069	V75
21105	21385	V75
23797	24025	V75
24097	24328	V75
24449	24655	V75
24856	24990	V75
25171	25412	V75
25756	25908	V75
27774	28227	V75
28681	28818	V75
28990	29114	V75
29449	29647	V75
29946	30098	V75
30421	30584	V75
32002	32015	V75
32082	32263	V75
33779	341349	V75
34349	34746	V75
35077	35826	V75
35421	35643	V75
35762	35855	V75
15892	15912	V76
15986	16478	V76
20505	20934	V76
20936	21021	V76
25326	25728	V76
26271	26380	V76
29840	30322	V76
30447	30692	V76
30787	31180	V76
31549	31668	V76
32534	32834	V76
33487	33893	V76
35506	35753	V76
35810	35938	V76
35957	35967	V76
35990	36000	V76
24453	24495	V77
25930	27391	V77
27626	27719	V77
30224	30491	V77
19340	20301	V78
26040	26085	V78
26131	26861	V78
26964	27086	V78
27217	27652	V78
27660	28318	V78
28686	28783	V78
29507	29743	V78
29804	29999	V78
31386	31618	V78
32453	32605	V78
32654	33154	V78
33598	33651	V78
33687	33724	V78
3863	4612	V79
4718	5225	V79
5711	5789	V79
5805	5843	V79
5857	5917	V79
6037	6209	V79
6228	6269	V79
6288	6539	V79
6619	6762	V79
6797	6951	V79
7010	7139	V79
7555	7582	V79
7645	7806	V79
7858	7979	V79
8052	8187	V79
8238	8286	V79
8323	8457	V79
8611	8947	V79
9093	9198	V79
9218	9247	V79
9272	9305	V79
9415	9541	V79
9623	10018	V79
10042	10055	V79
10119	10157	V79
10166	10255	V79
10281	10290	V79
10506	10601	V79
11067	11092	V79
11106	11430	V79
11487	11496	V79
11515	11526	V79
11838	12123	V79
12160	12168	V79
12191	12202	V79
12254	12283	V79
12312	12322	V79
12401	12444	V79
12458	12597	V79
12895	12984	V79
13633	13784	V79
13883	14020	V79
14051	14063	V79
14107	14118	V79
14140	14150	V79
14328	14405	V79
14431	14528	V79
14549	14558	V79
14707	14795	V79
14812	14821	V79
15239	15265	V79
15276	15961	V79
16235	16398	V79
16488	16578	V79
16606	16614	V79
16635	16912	V79
17105	17493	V79
17564	17785	V79
17996	18376	V79
18444	18486	V79
18501	18513	V79
18533	18543	V79
18568	18601	V79
18626	18638	V79
18657	18712	V79
18857	18953	V79
18973	18987	V79
19634	19781	V79
19942	19965	V79
20037	20176	V79
20279	20380	V79
20958	20984	V79
20996	21107	V79
21274	21318	V79
21358	21460	V79
21569	21638	V79
21654	21710	V79
21732	21782	V79
24206	24327	V79
24571	24582	V79
24694	25072	V79
25215	25386	V79
25414	25421	V79
25980	26096	V79
26263	26290	V79
26456	26494	V79
26507	26844	V79
26863	27076	V79
27332	27433	V79
27722	27821	V79
28002	28090	V79
28367	28456	V79
28731	28756	V79
28838	28883	V79
29144	29189	V79
29328	29371	V79
29976	30044	V79
31801	31919	V79
31949	32039	V79
32067	32198	V79
32590	32643	V79
33481	33569	V79
33575	33599	V79
33618	33697	V79
35915	36001	V79
1926	2225	V80
2694	3056	V80
3087	3299	V80
3351	3469	V80
3562	3804	V80
3840	3950	V80
3957	3986	V80
4002	4031	V80
4049	4120	V80
4134	4293	V80
4321	4419	V80
4429	4505	V80
4523	4642	V80
4667	4676	V80
4690	4718	V80
4752	4989	V80
5337	5480	V80
5499	5595	V80
5820	5947	V80
5985	6028	V80
25375	25571	V80
26268	26933	V80
27189	27567	V80
27579	27731	V80
27765	28034	V80
28433	28746	V80
28950	29165	V80
29182	29503	V80
30020	30450	V80
30650	30730	V80
30910	30971	V80
31062	31131	V80
31703	32106	V80
32731	33003	V80
33127	33235	V80
33466	33628	V80
33820	33878	V80
33894	33904	V80
34097	34187	V80
34345	34450	V80
34479	34488	V80
34604	34645	V80
34659	34671	V80
35178	35471	V80
35654	35686	V80
4741	4757	V1001
9680	9717	V1001
10682	10725	V1001
12333	12350	V1001
12410	12425	V1001
12730	12837	V1001
14507	14779	V1001
21308	21437	V1001
21593	21731	V1001
23281	23295	V1001
23478	23670	V1001
23812	23958	V1001
8805	8839	V1002
8883	8918	V1002
11083	11223	V1002
14747	14855	V1002
14898	14918	V1002
14959	15108	V1002
18440	18504	V1002
18656	18837	V1002
33826	33984	V1002
34021	34139	V1002
12538	12586	V1003
14858	14970	V1003
17098	17113	V1003
18135	18293	V1003
18432	18603	V1003
21160	21277	V1003
16	54	V1004
3897	4011	V1004
5431	6241	V1004
6245	6270	V1004
10576	11370	V1004
11580	11599	V1004
11670	11743	V1004
12735	13536	V1004
13636	13696	V1004
13856	13868	V1004
14035	14183	V1004
14229	14272	V1004
14653	14694	V1004
14746	14799	V1004
15157	15288	V1004
15828	16156	V1004
17317	17505	V1004
17561	17717	V1004
19132	19256	V1004
19316	19533	V1004
19590	19637	V1004
19774	19827	V1004
20092	20343	V1004
20421	20608	V1004
20707	20778	V1004
24000	24105	V1004
24167	24298	V1004
24392	24404	V1004
24495	25110	V1004
31266	31645	V1004
32478	32512	V1004
32559	32677	V1004
32736	32782	V1004
32898	33190	V1004
33308	33723	V1004
33879	34150	V1004
4838	4886	V1005
13012	13059	V1005
13203	13291	V1005
13323	13339	V1005
13379	13396	V1005
14128	14230	V1005
22763	22827	V1005
24096	24110	V1005
24160	24177	V1005
25289	25342	V1005
25553	25567	V1005
18341	18993	V1006
23777	24477	V1006
26728	27264	V1006
12740	12797	V1007
15079	15168	V1007
16617	16711	V1007
16995	17181	V1007
20832	20886	V1007
28090	28146	V1007
71	88	V1008
7145	7231	V1008
7255	7271	V1008
7295	7343	V1008
11440	11533	V1008
12553	12968	V1008
14917	14974	V1008
18482	18673	V1008
18731	19108	V1008
20172	20422	V1008
20984	21059	V1008
21095	21182	V1008
22038	22077	V1008
26892	27020	V1008
27335	27623	V1008
27686	27702	V1008
28241	28440	V1008
29352	29364	V1008
29437	29636	V1008
29947	30215	V1008
30263	30411	V1008
30730	31130	V1008
31672	31816	V1008
31911	31945	V1008
